WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Agustus
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit yang mengenai sistem syaraf;2
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit mata dan adnexa;69
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit telinga dan mastoid;4
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem sirkulasi;8
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem pernafasan;22
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem pencernaan;252
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada kulit dan jaringan subcutaneous;8
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem musculoskletal;8
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem saluran kemih dan genital;6
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Kehamilan dan kelahiran;1
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Keadaan yang berasal dari periode perinatal;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;6
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Keracunan, cedera dan beberapa penyebab yang dari luar;11
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyebab morbiditas dan kematian eksternal;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;60
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit Infeksi dan parasit;118
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Neoplasma;17
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Endokrin, nutrisi dan gangguan metabolik;47
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Gangguan jiwa dan perilaku;32
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit yang mengenai sistem syaraf;20
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit mata dan adnexa;129
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit telinga dan mastoid;41
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem sirkulasi;76
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem pernafasan;628
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem pencernaan;443
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada kulit dan jaringan subcutaneous;97
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem musculoskletal;159
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem saluran kemih dan genital;32
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Kehamilan dan kelahiran;4
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Keadaan yang berasal dari periode perinatal;1
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;111
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Keracunan, cedera dan beberapa penyebab yang dari luar;70
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;266
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit Infeksi dan parasit;159
Surabaya Barat;Pakal;Puskesmas Benowo;Neoplasma;33
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Barat;Pakal;Puskesmas Benowo;Endokrin, nutrisi dan gangguan metabolik;105
Surabaya Barat;Pakal;Puskesmas Benowo;Gangguan jiwa dan perilaku;13
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit yang mengenai sistem syaraf;37
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit mata dan adnexa;51
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit telinga dan mastoid;46
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem sirkulasi;85
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem pernafasan;713
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem pencernaan;851
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada kulit dan jaringan subcutaneous;172
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem musculoskletal;240
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem saluran kemih dan genital;74
Surabaya Barat;Pakal;Puskesmas Benowo;Kehamilan dan kelahiran;11
Surabaya Barat;Pakal;Puskesmas Benowo;Keadaan yang berasal dari periode perinatal;3
Surabaya Barat;Pakal;Puskesmas Benowo;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Barat;Pakal;Puskesmas Benowo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;161
Surabaya Barat;Pakal;Puskesmas Benowo;Keracunan, cedera dan beberapa penyebab yang dari luar;50
Surabaya Barat;Pakal;Puskesmas Benowo;Penyebab morbiditas dan kematian eksternal;1
Surabaya Barat;Pakal;Puskesmas Benowo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;641
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit Infeksi dan parasit;144
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Neoplasma;6
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Endokrin, nutrisi dan gangguan metabolik;106
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Gangguan jiwa dan perilaku;8
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit yang mengenai sistem syaraf;24
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit mata dan adnexa;103
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit telinga dan mastoid;27
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem sirkulasi;431
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem pernafasan;1.109
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem pencernaan;561
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada kulit dan jaringan subcutaneous;162
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem musculoskletal;338
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem saluran kemih dan genital;54
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Kehamilan dan kelahiran;10
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Keadaan yang berasal dari periode perinatal;2
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;133
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Keracunan, cedera dan beberapa penyebab yang dari luar;36
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyebab morbiditas dan kematian eksternal;1
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;301
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit Infeksi dan parasit;114
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Neoplasma;20
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Endokrin, nutrisi dan gangguan metabolik;109
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Gangguan jiwa dan perilaku;7
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit yang mengenai sistem syaraf;30
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit mata dan adnexa;105
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit telinga dan mastoid;34
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem sirkulasi;107
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem pernafasan;592
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem pencernaan;395
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada kulit dan jaringan subcutaneous;126
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem musculoskletal;247
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem saluran kemih dan genital;44
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Kehamilan dan kelahiran;1
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Keadaan yang berasal dari periode perinatal;0
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;91
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Keracunan, cedera dan beberapa penyebab yang dari luar;95
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyebab morbiditas dan kematian eksternal;0
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;218
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit Infeksi dan parasit;149
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Neoplasma;35
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;10
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Endokrin, nutrisi dan gangguan metabolik;48
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Gangguan jiwa dan perilaku;9
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit yang mengenai sistem syaraf;26
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit mata dan adnexa;55
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit telinga dan mastoid;40
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem sirkulasi;110
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem pernafasan;674
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem pencernaan;493
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada kulit dan jaringan subcutaneous;134
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem musculoskletal;246
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem saluran kemih dan genital;58
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Kehamilan dan kelahiran;12
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Keadaan yang berasal dari periode perinatal;1
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;272
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Keracunan, cedera dan beberapa penyebab yang dari luar;65
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;301
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit Infeksi dan parasit;194
Surabaya Utara;Krembangan;Puskesmas Dupak;Neoplasma;8
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Utara;Krembangan;Puskesmas Dupak;Endokrin, nutrisi dan gangguan metabolik;80
Surabaya Utara;Krembangan;Puskesmas Dupak;Gangguan jiwa dan perilaku;4
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit yang mengenai sistem syaraf;27
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit mata dan adnexa;27
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit telinga dan mastoid;49
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem sirkulasi;79
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem pernafasan;745
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem pencernaan;398
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada kulit dan jaringan subcutaneous;119
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem musculoskletal;141
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem saluran kemih dan genital;35
Surabaya Utara;Krembangan;Puskesmas Dupak;Kehamilan dan kelahiran;30
Surabaya Utara;Krembangan;Puskesmas Dupak;Keadaan yang berasal dari periode perinatal;3
Surabaya Utara;Krembangan;Puskesmas Dupak;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Utara;Krembangan;Puskesmas Dupak;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;189
Surabaya Utara;Krembangan;Puskesmas Dupak;Keracunan, cedera dan beberapa penyebab yang dari luar;75
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyebab morbiditas dan kematian eksternal;9
Surabaya Utara;Krembangan;Puskesmas Dupak;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;142
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit Infeksi dan parasit;59
Surabaya Timur;Tambaksari;Puskesmas Gading;Neoplasma;6
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Endokrin, nutrisi dan gangguan metabolik;26
Surabaya Timur;Tambaksari;Puskesmas Gading;Gangguan jiwa dan perilaku;5
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit yang mengenai sistem syaraf;10
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit mata dan adnexa;101
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit telinga dan mastoid;21
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem sirkulasi;32
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem pernafasan;268
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem pencernaan;374
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada kulit dan jaringan subcutaneous;47
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem musculoskletal;59
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem saluran kemih dan genital;16
Surabaya Timur;Tambaksari;Puskesmas Gading;Kehamilan dan kelahiran;1
Surabaya Timur;Tambaksari;Puskesmas Gading;Keadaan yang berasal dari periode perinatal;1
Surabaya Timur;Tambaksari;Puskesmas Gading;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Timur;Tambaksari;Puskesmas Gading;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;118
Surabaya Timur;Tambaksari;Puskesmas Gading;Keracunan, cedera dan beberapa penyebab yang dari luar;17
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyebab morbiditas dan kematian eksternal;2
Surabaya Timur;Tambaksari;Puskesmas Gading;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;370
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit Infeksi dan parasit;143
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Neoplasma;19
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Endokrin, nutrisi dan gangguan metabolik;129
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Gangguan jiwa dan perilaku;13
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit yang mengenai sistem syaraf;19
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit mata dan adnexa;34
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit telinga dan mastoid;34
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem sirkulasi;147
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem pernafasan;786
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem pencernaan;366
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada kulit dan jaringan subcutaneous;102
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem musculoskletal;191
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem saluran kemih dan genital;51
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Kehamilan dan kelahiran;50
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Keadaan yang berasal dari periode perinatal;1
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;166
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Keracunan, cedera dan beberapa penyebab yang dari luar;62
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyebab morbiditas dan kematian eksternal;2
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;701
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit Infeksi dan parasit;143
Surabaya Pusat;Bubutan;Puskesmas Gundih;Neoplasma;6
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0
Surabaya Pusat;Bubutan;Puskesmas Gundih;Endokrin, nutrisi dan gangguan metabolik;69
Surabaya Pusat;Bubutan;Puskesmas Gundih;Gangguan jiwa dan perilaku;14
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit yang mengenai sistem syaraf;19
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit mata dan adnexa;77
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit telinga dan mastoid;26
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem sirkulasi;44
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem pernafasan;912
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem pencernaan;403
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada kulit dan jaringan subcutaneous;119
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem musculoskletal;160
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem saluran kemih dan genital;25
