WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Maret
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;10
Surabaya Barat;Tandes;Puskesmas Balongsari;Endokrin, nutrisi dan gangguan metabolik;305
Surabaya Barat;Tandes;Puskesmas Balongsari;Gangguan jiwa dan perilaku;65
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit yang mengenai sistem syaraf;154
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit mata dan adnexa;22
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit telinga dan mastoid;163
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem sirkulasi;359
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem pernafasan;1.173
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem pencernaan;1.396
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada kulit dan jaringan subcutaneous;256
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem musculoskletal;428
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem saluran kemih dan genital;97
Surabaya Barat;Tandes;Puskesmas Balongsari;Kehamilan dan kelahiran;57
Surabaya Barat;Tandes;Puskesmas Balongsari;Keadaan yang berasal dari periode perinatal;16
Surabaya Barat;Tandes;Puskesmas Balongsari;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Barat;Tandes;Puskesmas Balongsari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;341
Surabaya Barat;Tandes;Puskesmas Balongsari;Keracunan, cedera dan beberapa penyebab yang dari luar;144
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyebab morbiditas dan kematian eksternal;3
Surabaya Barat;Tandes;Puskesmas Balongsari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1.829
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit Infeksi dan parasit;25
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Neoplasma;3
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Endokrin, nutrisi dan gangguan metabolik;7
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Gangguan jiwa dan perilaku;3
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit yang mengenai sistem syaraf;3
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit mata dan adnexa;179
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit telinga dan mastoid;11
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem sirkulasi;18
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem pernafasan;89
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem pencernaan;559
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada kulit dan jaringan subcutaneous;12
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem musculoskletal;20
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem saluran kemih dan genital;11
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Kehamilan dan kelahiran;2
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Keadaan yang berasal dari periode perinatal;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;19
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Keracunan, cedera dan beberapa penyebab yang dari luar;16
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyebab morbiditas dan kematian eksternal;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;174
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit Infeksi dan parasit;381
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Neoplasma;33
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;8
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Endokrin, nutrisi dan gangguan metabolik;110
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Gangguan jiwa dan perilaku;57
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit yang mengenai sistem syaraf;60
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit mata dan adnexa;323
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit telinga dan mastoid;103
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem sirkulasi;207
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem pernafasan;1.401
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem pencernaan;1.416
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada kulit dan jaringan subcutaneous;253
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem musculoskletal;367
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem saluran kemih dan genital;112
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Kehamilan dan kelahiran;35
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Keadaan yang berasal dari periode perinatal;4
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Malformasi kongenital, deformasi dan kelainan chromosom;8
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;185
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Keracunan, cedera dan beberapa penyebab yang dari luar;160
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyebab morbiditas dan kematian eksternal;6
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1.219
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit Infeksi dan parasit;509
Surabaya Barat;Pakal;Puskesmas Benowo;Neoplasma;80
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;18
Surabaya Barat;Pakal;Puskesmas Benowo;Endokrin, nutrisi dan gangguan metabolik;265
Surabaya Barat;Pakal;Puskesmas Benowo;Gangguan jiwa dan perilaku;62
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit yang mengenai sistem syaraf;199
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit mata dan adnexa;192
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit telinga dan mastoid;200
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem sirkulasi;287
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem pernafasan;2.156
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem pencernaan;2.729
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada kulit dan jaringan subcutaneous;473
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem musculoskletal;749
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem saluran kemih dan genital;234
Surabaya Barat;Pakal;Puskesmas Benowo;Kehamilan dan kelahiran;114
Surabaya Barat;Pakal;Puskesmas Benowo;Keadaan yang berasal dari periode perinatal;6
Surabaya Barat;Pakal;Puskesmas Benowo;Malformasi kongenital, deformasi dan kelainan chromosom;6
Surabaya Barat;Pakal;Puskesmas Benowo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;694
Surabaya Barat;Pakal;Puskesmas Benowo;Keracunan, cedera dan beberapa penyebab yang dari luar;197
Surabaya Barat;Pakal;Puskesmas Benowo;Penyebab morbiditas dan kematian eksternal;4
Surabaya Barat;Pakal;Puskesmas Benowo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;2.577
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit Infeksi dan parasit;499
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Neoplasma;33
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;12
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Endokrin, nutrisi dan gangguan metabolik;451
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Gangguan jiwa dan perilaku;17
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit yang mengenai sistem syaraf;82
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit mata dan adnexa;265
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit telinga dan mastoid;146
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem sirkulasi;1.049
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem pernafasan;1.915
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem pencernaan;1.844
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada kulit dan jaringan subcutaneous;557
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem musculoskletal;777
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem saluran kemih dan genital;185
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Kehamilan dan kelahiran;44
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Keadaan yang berasal dari periode perinatal;0
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Malformasi kongenital, deformasi dan kelainan chromosom;5
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;435
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Keracunan, cedera dan beberapa penyebab yang dari luar;173
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyebab morbiditas dan kematian eksternal;1
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;952
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit Infeksi dan parasit;416
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Neoplasma;63
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;10
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Endokrin, nutrisi dan gangguan metabolik;292
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Gangguan jiwa dan perilaku;40
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit yang mengenai sistem syaraf;65
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit mata dan adnexa;313
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit telinga dan mastoid;128
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem sirkulasi;338
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem pernafasan;1.439
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem pencernaan;975
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada kulit dan jaringan subcutaneous;425
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem musculoskletal;562
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem saluran kemih dan genital;98
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Kehamilan dan kelahiran;6
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Keadaan yang berasal dari periode perinatal;3
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;186
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Keracunan, cedera dan beberapa penyebab yang dari luar;181
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyebab morbiditas dan kematian eksternal;0
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;622
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit Infeksi dan parasit;458
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Neoplasma;80
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;29
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Endokrin, nutrisi dan gangguan metabolik;210
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Gangguan jiwa dan perilaku;15
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit yang mengenai sistem syaraf;71
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit mata dan adnexa;170
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit telinga dan mastoid;123
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem sirkulasi;409
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem pernafasan;1.685
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem pencernaan;1.702
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada kulit dan jaringan subcutaneous;442
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem musculoskletal;832
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem saluran kemih dan genital;123
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Kehamilan dan kelahiran;32
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Keadaan yang berasal dari periode perinatal;6
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;784
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Keracunan, cedera dan beberapa penyebab yang dari luar;184
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyebab morbiditas dan kematian eksternal;3
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1.253
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit Infeksi dan parasit;545
Surabaya Utara;Krembangan;Puskesmas Dupak;Neoplasma;16
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;14
Surabaya Utara;Krembangan;Puskesmas Dupak;Endokrin, nutrisi dan gangguan metabolik;209
Surabaya Utara;Krembangan;Puskesmas Dupak;Gangguan jiwa dan perilaku;48
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit yang mengenai sistem syaraf;70
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit mata dan adnexa;30
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit telinga dan mastoid;146
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem sirkulasi;226
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem pernafasan;1.982
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem pencernaan;992
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada kulit dan jaringan subcutaneous;380
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem musculoskletal;554
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem saluran kemih dan genital;103
Surabaya Utara;Krembangan;Puskesmas Dupak;Kehamilan dan kelahiran;141
Surabaya Utara;Krembangan;Puskesmas Dupak;Keadaan yang berasal dari periode perinatal;7
Surabaya Utara;Krembangan;Puskesmas Dupak;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Utara;Krembangan;Puskesmas Dupak;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;283
Surabaya Utara;Krembangan;Puskesmas Dupak;Keracunan, cedera dan beberapa penyebab yang dari luar;190
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyebab morbiditas dan kematian eksternal;11
Surabaya Utara;Krembangan;Puskesmas Dupak;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;595
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit Infeksi dan parasit;225
Surabaya Timur;Tambaksari;Puskesmas Gading;Neoplasma;1
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Endokrin, nutrisi dan gangguan metabolik;88
Surabaya Timur;Tambaksari;Puskesmas Gading;Gangguan jiwa dan perilaku;4
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit yang mengenai sistem syaraf;11
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit mata dan adnexa;338
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit telinga dan mastoid;40
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem sirkulasi;144
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem pernafasan;726
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem pencernaan;975
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada kulit dan jaringan subcutaneous;156
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem musculoskletal;138
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem saluran kemih dan genital;10
Surabaya Timur;Tambaksari;Puskesmas Gading;Kehamilan dan kelahiran;6
Surabaya Timur;Tambaksari;Puskesmas Gading;Keadaan yang berasal dari periode perinatal;4
Surabaya Timur;Tambaksari;Puskesmas Gading;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Timur;Tambaksari;Puskesmas Gading;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;417
Surabaya Timur;Tambaksari;Puskesmas Gading;Keracunan, cedera dan beberapa penyebab yang dari luar;17
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyebab morbiditas dan kematian eksternal;9
Surabaya Timur;Tambaksari;Puskesmas Gading;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1.948
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit Infeksi dan parasit;391
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Neoplasma;62
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;9
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Endokrin, nutrisi dan gangguan metabolik;371
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Gangguan jiwa dan perilaku;57
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit yang mengenai sistem syaraf;88
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit mata dan adnexa;124
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit telinga dan mastoid;124
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem sirkulasi;429
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem pernafasan;1.398
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem pencernaan;1.535
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada kulit dan jaringan subcutaneous;276
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem musculoskletal;526
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem saluran kemih dan genital;152
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Kehamilan dan kelahiran;136
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Keadaan yang berasal dari periode perinatal;4
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;318
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Keracunan, cedera dan beberapa penyebab yang dari luar;149
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyebab morbiditas dan kematian eksternal;8
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1.454
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit Infeksi dan parasit;421
Surabaya Pusat;Bubutan;Puskesmas Gundih;Neoplasma;40
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Pusat;Bubutan;Puskesmas Gundih;Endokrin, nutrisi dan gangguan metabolik;186
Surabaya Pusat;Bubutan;Puskesmas Gundih;Gangguan jiwa dan perilaku;36
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit yang mengenai sistem syaraf;55
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit mata dan adnexa;224
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit telinga dan mastoid;141
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem sirkulasi;151
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem pernafasan;2.253
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem pencernaan;1.215
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada kulit dan jaringan subcutaneous;437
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem musculoskletal;482
