WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Mei
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem pernafasan;282
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem pencernaan;354
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada kulit dan jaringan subcutaneous;39
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem musculoskletal;131
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem saluran kemih dan genital;21
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Kehamilan dan kelahiran;5
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Keadaan yang berasal dari periode perinatal;2
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;115
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Keracunan, cedera dan beberapa penyebab yang dari luar;49
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;373
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit Infeksi dan parasit;142
Surabaya Barat;Tandes;Puskesmas Balongsari;Neoplasma;19
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Barat;Tandes;Puskesmas Balongsari;Endokrin, nutrisi dan gangguan metabolik;52
Surabaya Barat;Tandes;Puskesmas Balongsari;Gangguan jiwa dan perilaku;12
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit yang mengenai sistem syaraf;43
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit mata dan adnexa;10
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit telinga dan mastoid;85
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem sirkulasi;89
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem pernafasan;459
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem pencernaan;474
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada kulit dan jaringan subcutaneous;88
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem musculoskletal;151
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit pada sistem saluran kemih dan genital;34
Surabaya Barat;Tandes;Puskesmas Balongsari;Kehamilan dan kelahiran;21
Surabaya Barat;Tandes;Puskesmas Balongsari;Keadaan yang berasal dari periode perinatal;10
Surabaya Barat;Tandes;Puskesmas Balongsari;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Barat;Tandes;Puskesmas Balongsari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;83
Surabaya Barat;Tandes;Puskesmas Balongsari;Keracunan, cedera dan beberapa penyebab yang dari luar;52
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyebab morbiditas dan kematian eksternal;0
Surabaya Barat;Tandes;Puskesmas Balongsari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;640
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit Infeksi dan parasit;6
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Neoplasma;2
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Endokrin, nutrisi dan gangguan metabolik;3
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Gangguan jiwa dan perilaku;1
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit yang mengenai sistem syaraf;2
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit mata dan adnexa;89
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit telinga dan mastoid;2
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem sirkulasi;4
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem pernafasan;21
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem pencernaan;191
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada kulit dan jaringan subcutaneous;9
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem musculoskletal;7
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyakit pada sistem saluran kemih dan genital;4
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Kehamilan dan kelahiran;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Keadaan yang berasal dari periode perinatal;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;5
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Keracunan, cedera dan beberapa penyebab yang dari luar;6
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Penyebab morbiditas dan kematian eksternal;0
Surabaya Barat;Lakarsantri;Puskesmas Bangkingan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;99
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit Infeksi dan parasit;143
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Neoplasma;19
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Endokrin, nutrisi dan gangguan metabolik;53
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Gangguan jiwa dan perilaku;31
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit yang mengenai sistem syaraf;31
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit mata dan adnexa;87
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit telinga dan mastoid;59
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem sirkulasi;74
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem pernafasan;471
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem pencernaan;500
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada kulit dan jaringan subcutaneous;113
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem musculoskletal;181
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyakit pada sistem saluran kemih dan genital;34
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Kehamilan dan kelahiran;8
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Keadaan yang berasal dari periode perinatal;3
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;81
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Keracunan, cedera dan beberapa penyebab yang dari luar;59
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Penyebab morbiditas dan kematian eksternal;5
Surabaya Selatan;Sawahan;Puskesmas Banyu Urip;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;495
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit Infeksi dan parasit;117
Surabaya Barat;Pakal;Puskesmas Benowo;Neoplasma;26
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Barat;Pakal;Puskesmas Benowo;Endokrin, nutrisi dan gangguan metabolik;65
Surabaya Barat;Pakal;Puskesmas Benowo;Gangguan jiwa dan perilaku;22
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit yang mengenai sistem syaraf;68
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit mata dan adnexa;25
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit telinga dan mastoid;45
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem sirkulasi;58
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem pernafasan;554
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem pencernaan;982
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada kulit dan jaringan subcutaneous;178
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem musculoskletal;266
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem saluran kemih dan genital;45
Surabaya Barat;Pakal;Puskesmas Benowo;Kehamilan dan kelahiran;20
Surabaya Barat;Pakal;Puskesmas Benowo;Keadaan yang berasal dari periode perinatal;1
Surabaya Barat;Pakal;Puskesmas Benowo;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Barat;Pakal;Puskesmas Benowo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;165
Surabaya Barat;Pakal;Puskesmas Benowo;Keracunan, cedera dan beberapa penyebab yang dari luar;54
Surabaya Barat;Pakal;Puskesmas Benowo;Penyebab morbiditas dan kematian eksternal;1
Surabaya Barat;Pakal;Puskesmas Benowo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;768
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit Infeksi dan parasit;129
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Neoplasma;13
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Endokrin, nutrisi dan gangguan metabolik;101
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Gangguan jiwa dan perilaku;2
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit yang mengenai sistem syaraf;23
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit mata dan adnexa;72
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit telinga dan mastoid;45
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem sirkulasi;328
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem pernafasan;634
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem pencernaan;528
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada kulit dan jaringan subcutaneous;209
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem musculoskletal;247
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem saluran kemih dan genital;62
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Kehamilan dan kelahiran;21
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Keadaan yang berasal dari periode perinatal;4
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;99
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Keracunan, cedera dan beberapa penyebab yang dari luar;40
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyebab morbiditas dan kematian eksternal;1
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;423
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit Infeksi dan parasit;131
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Neoplasma;20
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Endokrin, nutrisi dan gangguan metabolik;84
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Gangguan jiwa dan perilaku;12
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit yang mengenai sistem syaraf;14
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit mata dan adnexa;110
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit telinga dan mastoid;28
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem sirkulasi;280
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem pernafasan;479
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem pencernaan;392
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada kulit dan jaringan subcutaneous;129
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem musculoskletal;241
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem saluran kemih dan genital;32
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Kehamilan dan kelahiran;6
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Keadaan yang berasal dari periode perinatal;0
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;61
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Keracunan, cedera dan beberapa penyebab yang dari luar;63
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyebab morbiditas dan kematian eksternal;1
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;312
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit Infeksi dan parasit;140
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Neoplasma;26
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;7
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Endokrin, nutrisi dan gangguan metabolik;67
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Gangguan jiwa dan perilaku;8
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit yang mengenai sistem syaraf;42
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit mata dan adnexa;48
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit telinga dan mastoid;58
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem sirkulasi;153
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem pernafasan;524
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem pencernaan;606
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada kulit dan jaringan subcutaneous;147
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem musculoskletal;328
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem saluran kemih dan genital;38
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Kehamilan dan kelahiran;11
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Keadaan yang berasal dari periode perinatal;4
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;225
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Keracunan, cedera dan beberapa penyebab yang dari luar;70
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;385
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit Infeksi dan parasit;204
Surabaya Utara;Krembangan;Puskesmas Dupak;Neoplasma;9
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Utara;Krembangan;Puskesmas Dupak;Endokrin, nutrisi dan gangguan metabolik;61
Surabaya Utara;Krembangan;Puskesmas Dupak;Gangguan jiwa dan perilaku;15
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit yang mengenai sistem syaraf;39
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit mata dan adnexa;9
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit telinga dan mastoid;44
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem sirkulasi;73
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem pernafasan;624
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem pencernaan;409
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada kulit dan jaringan subcutaneous;115
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem musculoskletal;166
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem saluran kemih dan genital;37
Surabaya Utara;Krembangan;Puskesmas Dupak;Kehamilan dan kelahiran;51
Surabaya Utara;Krembangan;Puskesmas Dupak;Keadaan yang berasal dari periode perinatal;1
Surabaya Utara;Krembangan;Puskesmas Dupak;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Utara;Krembangan;Puskesmas Dupak;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;111
Surabaya Utara;Krembangan;Puskesmas Dupak;Keracunan, cedera dan beberapa penyebab yang dari luar;51
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyebab morbiditas dan kematian eksternal;4
Surabaya Utara;Krembangan;Puskesmas Dupak;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;169
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit Infeksi dan parasit;56
Surabaya Timur;Tambaksari;Puskesmas Gading;Neoplasma;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Timur;Tambaksari;Puskesmas Gading;Endokrin, nutrisi dan gangguan metabolik;27
Surabaya Timur;Tambaksari;Puskesmas Gading;Gangguan jiwa dan perilaku;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit yang mengenai sistem syaraf;3
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit mata dan adnexa;113
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit telinga dan mastoid;16
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem sirkulasi;39
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem pernafasan;199
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem pencernaan;448
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada kulit dan jaringan subcutaneous;50
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem musculoskletal;40
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem saluran kemih dan genital;8
Surabaya Timur;Tambaksari;Puskesmas Gading;Kehamilan dan kelahiran;2
Surabaya Timur;Tambaksari;Puskesmas Gading;Keadaan yang berasal dari periode perinatal;2
Surabaya Timur;Tambaksari;Puskesmas Gading;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Timur;Tambaksari;Puskesmas Gading;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;118
Surabaya Timur;Tambaksari;Puskesmas Gading;Keracunan, cedera dan beberapa penyebab yang dari luar;5
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyebab morbiditas dan kematian eksternal;3
Surabaya Timur;Tambaksari;Puskesmas Gading;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;904
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit Infeksi dan parasit;185
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Neoplasma;24
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Endokrin, nutrisi dan gangguan metabolik;147
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Gangguan jiwa dan perilaku;17
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit yang mengenai sistem syaraf;29
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit mata dan adnexa;47
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit telinga dan mastoid;88
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem sirkulasi;175
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem pernafasan;602
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem pencernaan;482
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada kulit dan jaringan subcutaneous;135
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem musculoskletal;228
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem saluran kemih dan genital;49
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Kehamilan dan kelahiran;63
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Keadaan yang berasal dari periode perinatal;3
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;149
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Keracunan, cedera dan beberapa penyebab yang dari luar;45
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;528
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit Infeksi dan parasit;129
Surabaya Pusat;Bubutan;Puskesmas Gundih;Neoplasma;13
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Pusat;Bubutan;Puskesmas Gundih;Endokrin, nutrisi dan gangguan metabolik;68
Surabaya Pusat;Bubutan;Puskesmas Gundih;Gangguan jiwa dan perilaku;7
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit yang mengenai sistem syaraf;16
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit mata dan adnexa;86
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit telinga dan mastoid;55
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem sirkulasi;55
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem pernafasan;768
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem pencernaan;489
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada kulit dan jaringan subcutaneous;135
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem musculoskletal;181
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem saluran kemih dan genital;23
