WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;November
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Barat;Pakal;Puskesmas Benowo;Endokrin, nutrisi dan gangguan metabolik;119
Surabaya Barat;Pakal;Puskesmas Benowo;Gangguan jiwa dan perilaku;34
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit yang mengenai sistem syaraf;66
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit mata dan adnexa;46
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit telinga dan mastoid;66
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem sirkulasi;70
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem pernafasan;538
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem pencernaan;804
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada kulit dan jaringan subcutaneous;226
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem musculoskletal;239
Surabaya Barat;Pakal;Puskesmas Benowo;Penyakit pada sistem saluran kemih dan genital;77
Surabaya Barat;Pakal;Puskesmas Benowo;Kehamilan dan kelahiran;19
Surabaya Barat;Pakal;Puskesmas Benowo;Keadaan yang berasal dari periode perinatal;4
Surabaya Barat;Pakal;Puskesmas Benowo;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Barat;Pakal;Puskesmas Benowo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;175
Surabaya Barat;Pakal;Puskesmas Benowo;Keracunan, cedera dan beberapa penyebab yang dari luar;47
Surabaya Barat;Pakal;Puskesmas Benowo;Penyebab morbiditas dan kematian eksternal;1
Surabaya Barat;Pakal;Puskesmas Benowo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;529
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit Infeksi dan parasit;169
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Neoplasma;10
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Endokrin, nutrisi dan gangguan metabolik;108
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Gangguan jiwa dan perilaku;3
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit yang mengenai sistem syaraf;34
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit mata dan adnexa;76
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit telinga dan mastoid;47
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem sirkulasi;458
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem pernafasan;653
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem pencernaan;625
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada kulit dan jaringan subcutaneous;185
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem musculoskletal;331
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyakit pada sistem saluran kemih dan genital;43
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Kehamilan dan kelahiran;21
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Keadaan yang berasal dari periode perinatal;10
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;109
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Keracunan, cedera dan beberapa penyebab yang dari luar;43
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Penyebab morbiditas dan kematian eksternal;2
Surabaya Utara;Kenjeran;Puskesmas Bulak Banteng;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;315
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit Infeksi dan parasit;165
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Neoplasma;23
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Endokrin, nutrisi dan gangguan metabolik;124
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Gangguan jiwa dan perilaku;15
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit yang mengenai sistem syaraf;26
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit mata dan adnexa;126
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit telinga dan mastoid;45
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem sirkulasi;67
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem pernafasan;368
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem pencernaan;379
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada kulit dan jaringan subcutaneous;174
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem musculoskletal;194
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyakit pada sistem saluran kemih dan genital;44
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Kehamilan dan kelahiran;6
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Keadaan yang berasal dari periode perinatal;0
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;77
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Keracunan, cedera dan beberapa penyebab yang dari luar;68
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Penyebab morbiditas dan kematian eksternal;0
Surabaya Pusat;Tegalsari;Puskesmas Dr. Soetomo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;212
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit Infeksi dan parasit;176
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Neoplasma;16
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;10
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Endokrin, nutrisi dan gangguan metabolik;67
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Gangguan jiwa dan perilaku;5
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit yang mengenai sistem syaraf;19
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit mata dan adnexa;57
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit telinga dan mastoid;50
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem sirkulasi;130
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem pernafasan;424
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem pencernaan;581
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada kulit dan jaringan subcutaneous;167
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem musculoskletal;274
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyakit pada sistem saluran kemih dan genital;80
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Kehamilan dan kelahiran;3
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Keadaan yang berasal dari periode perinatal;4
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;235
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Keracunan, cedera dan beberapa penyebab yang dari luar;48
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Penyebab morbiditas dan kematian eksternal;0
Surabaya Selatan;Dukuh Pakis;Puskesmas Dukuh Kupang;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;315
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit Infeksi dan parasit;255
Surabaya Utara;Krembangan;Puskesmas Dupak;Neoplasma;13
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Utara;Krembangan;Puskesmas Dupak;Endokrin, nutrisi dan gangguan metabolik;68
Surabaya Utara;Krembangan;Puskesmas Dupak;Gangguan jiwa dan perilaku;6
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit yang mengenai sistem syaraf;28
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit mata dan adnexa;14
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit telinga dan mastoid;58
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem sirkulasi;74
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem pernafasan;580
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem pencernaan;469
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada kulit dan jaringan subcutaneous;184
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem musculoskletal;159
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyakit pada sistem saluran kemih dan genital;51
Surabaya Utara;Krembangan;Puskesmas Dupak;Kehamilan dan kelahiran;56
Surabaya Utara;Krembangan;Puskesmas Dupak;Keadaan yang berasal dari periode perinatal;5
Surabaya Utara;Krembangan;Puskesmas Dupak;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Utara;Krembangan;Puskesmas Dupak;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;155
Surabaya Utara;Krembangan;Puskesmas Dupak;Keracunan, cedera dan beberapa penyebab yang dari luar;83
Surabaya Utara;Krembangan;Puskesmas Dupak;Penyebab morbiditas dan kematian eksternal;9
Surabaya Utara;Krembangan;Puskesmas Dupak;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;156
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit Infeksi dan parasit;50
Surabaya Timur;Tambaksari;Puskesmas Gading;Neoplasma;4
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Endokrin, nutrisi dan gangguan metabolik;3
Surabaya Timur;Tambaksari;Puskesmas Gading;Gangguan jiwa dan perilaku;2
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit yang mengenai sistem syaraf;1
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit mata dan adnexa;81
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit telinga dan mastoid;6
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem sirkulasi;18
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem pernafasan;221
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem pencernaan;457
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada kulit dan jaringan subcutaneous;58
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem musculoskletal;19
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyakit pada sistem saluran kemih dan genital;9
Surabaya Timur;Tambaksari;Puskesmas Gading;Kehamilan dan kelahiran;2
Surabaya Timur;Tambaksari;Puskesmas Gading;Keadaan yang berasal dari periode perinatal;1
Surabaya Timur;Tambaksari;Puskesmas Gading;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Timur;Tambaksari;Puskesmas Gading;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;136
Surabaya Timur;Tambaksari;Puskesmas Gading;Keracunan, cedera dan beberapa penyebab yang dari luar;6
Surabaya Timur;Tambaksari;Puskesmas Gading;Penyebab morbiditas dan kematian eksternal;1
Surabaya Timur;Tambaksari;Puskesmas Gading;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;500
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit Infeksi dan parasit;149
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Neoplasma;21
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Endokrin, nutrisi dan gangguan metabolik;101
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Gangguan jiwa dan perilaku;17
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit yang mengenai sistem syaraf;14
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit mata dan adnexa;32
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit telinga dan mastoid;42
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem sirkulasi;141
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem pernafasan;456
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem pencernaan;417
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada kulit dan jaringan subcutaneous;129
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem musculoskletal;227
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyakit pada sistem saluran kemih dan genital;30
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Kehamilan dan kelahiran;31
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Keadaan yang berasal dari periode perinatal;0
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;161
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Keracunan, cedera dan beberapa penyebab yang dari luar;60
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Penyebab morbiditas dan kematian eksternal;3
Surabaya Selatan;Gayungan;Puskesmas Gayungan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;938
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit Infeksi dan parasit;152
Surabaya Pusat;Bubutan;Puskesmas Gundih;Neoplasma;10
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Pusat;Bubutan;Puskesmas Gundih;Endokrin, nutrisi dan gangguan metabolik;67
Surabaya Pusat;Bubutan;Puskesmas Gundih;Gangguan jiwa dan perilaku;16
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit yang mengenai sistem syaraf;11
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit mata dan adnexa;77
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit telinga dan mastoid;38
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem sirkulasi;35
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem pernafasan;537
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem pencernaan;416
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada kulit dan jaringan subcutaneous;147
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem musculoskletal;190
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem saluran kemih dan genital;20
